20000101,-41.13,174.76,27.0,1.9
20000101,32.179,-115.073,6.0,2.44
20000101,34.149,-117.711,6.82,1.34
20000101,34.442,-116.228,7.32,1.01
20000101,34.523,-116.241,11.63,1.61
20000101,34.632,-116.295,9.0,1.73
20000101,34.692,-116.355,12.3,1.21
20000101,35.704,-117.632,4.15,1.45
20000101,37.4172,-121.7667,5.88,1.14
20000101,37.6392,-119.0482,2.4,1.03
20000101,41.915,20.534,6.2,2.6
20000101,41.927,20.543,10.0,4.8
20000101,44.7357,-110.7932,4.96,2.2
20000101,44.737,-110.7938,5.32,1.75
20000101,44.771,-110.7632,2.35,1.05
20000101,44.7838,-110.7552,5.43,1.66
20000101,45.086,5.466,4.0,2.1
20000101,59.5369,-153.136,100.15,1.62
20000101,59.7753,-152.2192,86.34,1.48
